tweet_id	tweet_text	original_filename
1061320723749330944	So in a truly strange world, we have @RealJamesWoods playing the hero in the California firesand Russians retweeting the hashtags over 5000 times. Screenshot from Hamilton 68	california_wildfires_2018_dev.tsv
1065804941946687488	@JohnKerry Do you know this about the California fires ?  and will you expose it? This is domestic terrorism of the highest grade,genocide in our own country.	california_wildfires_2018_dev.tsv
1064237337775767552	Wondering what steps you can take to make California’s fire-prone land healthier and less hazardous? Here’s an appeal from Bill Tripp of the Karuk Tribe and the Endowment for Eco-cultural Revitalization:	california_wildfires_2018_dev.tsv
1065466219007000578	@realDonaldTrump California Wild Fires? Werent you there in Pleasure Ca?	california_wildfires_2018_dev.tsv
1061285004075065344	Doe not make any sense. SoCal fires are in chapparal scrub, not trees, certainly not loggable. That, and POTUS is an undignified sociopath.	california_wildfires_2018_dev.tsv
1061209502647771136	@drmom247 @realDonaldTrump Actually his tweet does not blame fire fighters but the system they are in. However, he should be showing more compassion and offer aid and then later get into fixing the problem. What he does not understand is fires in California are a weather issue mainly and not managment one	california_wildfires_2018_dev.tsv
1065637746050400256	Billions in yearly profit, Walmart wont even put in a dime to help the fire survivors camping out in their lots. Not even for their own gain. What they will do, however is ask them to leave. Because Walmart cares.	california_wildfires_2018_dev.tsv
1061314182392541187	You lowlife piece of shit!! How dare you pull your power trip, when there are thousands of people now misplaced and some dead because of a disaster that is a force of nature you stupid ass! Even if it was an	california_wildfires_2018_dev.tsv
1064942957508186113	Fires dont kill, Liberals Kill..	california_wildfires_2018_dev.tsv
1064653772784394240	Presented by: The Ring Of Fire Published on : 11/19/2018 Corporate Judges Just Opened Up Californias Protected Lands For Corporate Vultures! **Could This Be The Reason Northern California Is Burning Down, To Make Room For Big Corporations?	california_wildfires_2018_dev.tsv
1061309130986713088	Ladies and gentlemen The POTUS #pieceofshit #whatadouche #isthisreallife @realDonaldTrump youre an embarrassment. People, citizens, need help!	california_wildfires_2018_dev.tsv
1064294566516396032	RT @Green_Footballs: The California Chaparral Institute responds to Trumps ignorant and stupid comments about the wildfires. /	california_wildfires_2018_dev.tsv
1064070405923708933	The destruction from the wildfires in California surpasses what a government report projected just months ago, a climate scientist says.	california_wildfires_2018_dev.tsv
1065362307054792704	Such a world class organization.	california_wildfires_2018_dev.tsv
1061253526687346688	Why is no one talking about this. We have a president that refuses to acknowledge California. Still absolutely no mention of the fires that are burning throughout our state. Many evacuated. Many homes lost. @realDonaldTrump #CampFire #WoolseyFire	california_wildfires_2018_dev.tsv
1061382548767629313	What a fucking victim blaming dickhead	california_wildfires_2018_dev.tsv
1066118770714914818	Just think about this..no Red Cross assisting California affected fire areas, But they are assisting the illegal invasion.	california_wildfires_2018_dev.tsv
