tweet_id	tweet_text	original_filename
1063535672793944065	66 people have died and more than 600 are still missing due to the #CaliforniaWildfires #CAfire #CampFire #CaliforniaFires #California #CaliforniaFire #CAFires #Wildfires ὢ2ὖF️	california_wildfires_2018_dev.tsv
1062711111869333504	BBC News - California wildfires: Nine dead and more than 150,000 evacuated	california_wildfires_2018_dev.tsv
1064807520802197504	Death toll in California’s #CampFire has climbed to 79, the number of people unaccounted for has dropped to about 700. @NWSSacramento has issued a flash flood watch for the Camp Fire burn area in Butte County from Wednesday afternoon until Friday morning. @AZMorningNews @KTAR923	california_wildfires_2018_dev.tsv
1062108636615458818	A local woman captures dramatic footage driving through the fires engulfing the western state of California while she tries to flee her Malibu home; as death toll rises to 31 in the two wildfires with 228 still unaccounted for	california_wildfires_2018_dev.tsv
1061186093398151168	In a total of 24 hours, the Camp Fire in Northern California became the most destructive fire in California history. Over 6500 homes gone in a flash and at least 9 lives lost.#CaliforniaFires	california_wildfires_2018_dev.tsv
1063639256608972807	RT @WAFB: JUST IN: 71 dead, more than 1,000 now missing in California fires &gt;&gt;	california_wildfires_2018_dev.tsv
1061563377871392768	RT @DancingTheMind: America. This is what you’re voting for. 14 people dead &amp; this is what he says. #CaliforniaWildfires	california_wildfires_2018_dev.tsv
1061753095644962816	LATEST UPDATE: - Death toll from California wildfires continues to rise - Scotland adds LGBTI curriculum to public schools - WWI gave women a chance to contribute to war efforts #tictocnews	california_wildfires_2018_dev.tsv
1062370401106313221	LATEST UPDATE: -At least 40 killed in Northern California wildfires #CaliforniaFire -China is postponing its ban on trading tiger and rhino parts -Mississippi Senator Cindy Hyde-Smith deflects questions about public hanging remark #tictocnews	california_wildfires_2018_dev.tsv
1067592498699210752	RT @foggybottomgal: Judge to California utility: Explain any role in deadly Camp Fire that killed nearly 90 people	california_wildfires_2018_dev.tsv
1062632229606551552	Death toll in California fire at 42, expected to rise further as recovery teams search for remains	california_wildfires_2018_dev.tsv
1061709754932912128	RT @people: Camille Grammer, Robin Thicke &amp; More Lose Homes to California Fires as Death Toll Climbs to 23	california_wildfires_2018_dev.tsv
1064113185794519041	FOX NEWS: Death toll rises to 76 in California fire with winds ahead	california_wildfires_2018_dev.tsv
1066373574351417344	The Latest: Death toll from N. California wildfire now 84 | Daily Mail Online	california_wildfires_2018_dev.tsv
1062247854004203521	Death toll in the #CaliforniaWildfires that started earlier this week, has now risen to 42- worse than the states deadliest fire.	california_wildfires_2018_dev.tsv
1063983727481634816	Officials: California fires death toll jumps to 76. @wjz	california_wildfires_2018_dev.tsv
1062084232284160002	Breaking: The death toll from #Campfire in Butte County, California, is now 29, tying it with the deadliest fire in California history. 228 people remain unaccounted for.	california_wildfires_2018_dev.tsv
1063659203644948480	RT @MyAlliesNews: California fires: Death toll rises in Camp fire as survivors look for their way forward	california_wildfires_2018_dev.tsv
1063257640698970112	According to Butte County Sheriffs Office, Camp Fire death toll at 63	california_wildfires_2018_dev.tsv
1061602995782045696	At least 25 people, including two in Malibu, have died in massive wildfires in California, authorities report.	california_wildfires_2018_dev.tsv
1066018808438145026	What Makes a California Wildfire the Worst? Deaths and Size by THE ASSOCIATED PRESS via NYT	california_wildfires_2018_dev.tsv
1063970769296715777	Trump said 600 ppl died tho? RT @jilevin: Death toll rises to 71 in California wildfires as relatives search for the missing	california_wildfires_2018_dev.tsv
1062692650711543808	California wildfire death toll up to 48, and 9 more things to know for Wednesday	california_wildfires_2018_dev.tsv
1061297296720052224	Yep. 45 is meeting with Putin while Americans die from fires caused by winds and global warming. #distraction #WoosleyFire #Malibufire #Putin	california_wildfires_2018_dev.tsv
1061457004936478722	Breaking: The Associated Press reports that a Northern California sheriff says 14 additional bodies have been recovered, bringing the death toll to 23 in California’s massive wildfires. #CaliforniaWildfires #WoolseyFire	california_wildfires_2018_dev.tsv
1063402931997814785	Among #AP10ThingstoKnow: Destroyed by flames, Paradise, California, is all but a memory; Wildfires death toll rises to 63, over 600 missing; Recount by hand coming in Florida governors contest; David Hockney painting sells for a record $90.3 million.	california_wildfires_2018_dev.tsv
1061720761155665925	Women died because she was putting her make up on. We live in such a judgemental society! If an extreme status warning is issued. Follow instructions no matter what. Nobody cares how you look, once you are safe! May they R.I.P #FireSafety #News	california_wildfires_2018_dev.tsv
1067095577114996736	ὒ5California wildfires: Nearly 1,000 people unaccounted for, death toll 77, 60 firefighters lose their homes, thousands of structures destroyed, hundreds damagedὢ2 Q- What is Hollywood doing? A- Raising money for illegals in the caravanὢ1#AntiAmerican	california_wildfires_2018_dev.tsv
1062057331343671302	Gov. Brown, fire-besieged California hit back at Trump over blame tweet. Governor Brown also asks White House for disaster relief funds for the state. The death toll is now at 25. #CaliforniaFires #VeteransDay #HippysResist	california_wildfires_2018_dev.tsv
1062749277531791360	Death toll climbs to 48 in Northern California fire | CBC News	california_wildfires_2018_dev.tsv
