tweet_id	text	label	original_filename
295740276847300608	Queensland in grip of new deadly flood crisis http://t.co/qBt1IBMo	relevant	2013_Queensland_Floods_dev.tsv
296277240499564544	Thousands displaced in Queensland, NSW as flood threat continues http://t.co/0tZEpR8t #bigwet	relevant	2013_Queensland_Floods_dev.tsv
295780049926377472	RT @news_mail: Family of seven among those rescued in Queensland flood crisis http://t.co/VLyPyv6h	relevant	2013_Queensland_Floods_dev.tsv
296011490039844864	Daring rescue of teenager from flood waters: Australia reels from surging floods http://t.co/Qe5FcKlW	relevant	2013_Queensland_Floods_dev.tsv
296100680396058625	Photos: Flood water rises in Australia http://t.co/QudYfEh2	relevant	2013_Queensland_Floods_dev.tsv
295727551144398850	RT @Volvo_of_doom: Phew, Queensland can relax, the flood crisis is over, @TonyAbbottMHR has arrived with a flouro vest....	relevant	2013_Queensland_Floods_dev.tsv
295633669316562944	@ShpunkyLady66 good to hear this weather has been complete maddness we sunny today but still v windy	relevant	2013_Queensland_Floods_dev.tsv
296100893840003072	Youngest's Update::: Photos: Flood water rises in Australia:  http://t.co/nzXUxFOD	relevant	2013_Queensland_Floods_dev.tsv
296249181847318531	Australia lurches from fire to flood http://t.co/nCWCoE2Q	relevant	2013_Queensland_Floods_dev.tsv
295670221467963392	Interesting: Queensland's flood crisis deepens - The Australian: Sydney Morning HeraldQueensland's flo... http://t.co/CChsL9sP Please RT	relevant	2013_Queensland_Floods_dev.tsv
295789219396329472	Cc @I_amtopsee7 RT @AJEnglish: Flood worsens in eastern Australia http://t.co/YfT2AW6t	relevant	2013_Queensland_Floods_dev.tsv
295998449827078146	Australia's flood crisis worsens as death toll rises: The deadly flood crisis is escalating across southern Quee... http://t.co/w4oviawB	relevant	2013_Queensland_Floods_dev.tsv
296101000396300289	#CNN: Photos: Flood water rises in Australia:  http://t.co/qdMksZ5g	relevant	2013_Queensland_Floods_dev.tsv
296011630611931136	Two days now without power in Ferny Grove	relevant	2013_Queensland_Floods_dev.tsv
